crap: complexity measured from source for 1859/1970 clauses (94.4%); 111 not gated (templates / generated / macro-injected).
crap: 18/1445 functions have no coverage data and are NOT gated. Pass --on-no-coverage zero to treat them as uncovered, or check your --coverdata is complete.
FUNCTION                                                     CC  COV%   CRAP
Mut.EnvWalker.literal_candidate_name/2                       7   100.0  7.0 
Mut.EnvWalker.match_literal_name/1                           7   100.0  7.0 
Mut.EnvWalker.pattern_vars/1                                 7   100.0  7.0 
Mut.Match.span_contains?/2                                   7   100.0  7.0 
Mut.Mutator.CollectionEmpty.non_empty_collection?/1          7   100.0  7.0 
Mut.Trace.Writer.terminate/2                                 3   25.0   6.8 
Mut.Worker.Formatter.merge_summaries/1                       3   25.0   6.8 
Mut.EnvWalker.walk_try/2                                     6   72.7   6.7 
Mut.EnvWalker.fetch_block/2                                  5   60.0   6.6 
Mut.TestSelection.Coverage.degraded_cover/5                  6   77.8   6.4 
Mut.Match.column_present?/3                                  6   83.3   6.2 
Mut.SchemaPlacer.node_kind/1                                 6   83.3   6.2 
Mut.TestSelection.Static.grouped_alias_modules/1             6   83.3   6.2 
Mut.Reporter.StrykerJson.status_reason/3                     6   85.7   6.1 
Mut.SourceSpan.Compute.from_meta/4                           6   85.7   6.1 
Mut.AstWalk.maybe_attribute_candidate/3                      6   90.9   6.0 
JSON.Encoder.Mut.JSON.OrderedObject.encode/2                 2   0.0    6.0 
Mix.Tasks.Compile.MutOracle.ensure_writer_started/0          2   0.0    6.0 
Mix.Tasks.Mut.base_selection/7                               2   0.0    6.0 
Mix.Tasks.Mut.binary_or_nil/1                                2   0.0    6.0 
Mix.Tasks.Mut.build_file_indexes/2                           2   0.0    6.0 
Mix.Tasks.Mut.build_selection_context/7                      2   0.0    6.0 
Mix.Tasks.Mut.current_digests/4                              2   0.0    6.0 
Mix.Tasks.Mut.execute_plan/8                                 2   0.0    6.0 
Mix.Tasks.Mut.expand_file_patterns/2                         2   0.0    6.0 
Mix.Tasks.Mut.fallback_app/2                                 2   0.0    6.0 
Mix.Tasks.Mut.history_records/3                              2   0.0    6.0 
Mix.Tasks.Mut.load_verdicts/2                                2   0.0    6.0 
Mix.Tasks.Mut.maybe_stream_event/4                           2   0.0    6.0 
Mix.Tasks.Mut.mutant_file_indexes/2                          2   0.0    6.0 
Mix.Tasks.Mut.read_relative/2                                2   0.0    6.0 
Mix.Tasks.Mut.record_schema_build_metadata/2                 2   0.0    6.0 
Mix.Tasks.Mut.relative_tests/2                               2   0.0    6.0 
Mix.Tasks.Mut.render_stryker_report/4                        2   0.0    6.0 
Mix.Tasks.Mut.report_degraded_coverage/1                     2   0.0    6.0 
Mix.Tasks.Mut.run/1                                          2   0.0    6.0 
Mix.Tasks.Mut.run_coverage!/2                                2   0.0    6.0 
Mix.Tasks.Mut.selected_tests/2                               2   0.0    6.0 
Mix.Tasks.Mut.set_exit_code/2                                2   0.0    6.0 
Mix.Tasks.Mut.write_history/4                                2   0.0    6.0 
Mix.Tasks.Mut.E2e.assert_contains!/2                         2   0.0    6.0 
Mix.Tasks.Mut.E2e.assert_count!/3                            2   0.0    6.0 
Mix.Tasks.Mut.E2e.assert_dsl_filtered!/1                     2   0.0    6.0 
Mix.Tasks.Mut.E2e.assert_fixture_clean!/0                    2   0.0    6.0 
Mix.Tasks.Mut.E2e.assert_golden_ids!/1                       2   0.0    6.0 
Mix.Tasks.Mut.E2e.assert_min_skipped!/2                      2   0.0    6.0 
Mix.Tasks.Mut.E2e.assert_stable_ids!/2                       2   0.0    6.0 
Mix.Tasks.Mut.E2e.assert_status!/3                           2   0.0    6.0 
Mix.Tasks.Mut.E2e.incremental_summary/1                      2   0.0    6.0 
Mix.Tasks.Mut.Recompile.run/1                                2   0.0    6.0 
Mix.Tasks.Mut.TestFallback.assert_sandbox_file_clean!/3      2   0.0    6.0 
Mix.Tasks.Mut.TestFallback.dependent_modules/1               2   0.0    6.0 
Mix.Tasks.Mut.TestSchema.run_expected/5                      2   0.0    6.0 
Mut.AstWalk.add_body_literal/5                               2   0.0    6.0 
Mut.AstWalk.block_node_span/2                                6   100.0  6.0 
Mut.AstWalk.body_literal_candidates/1                        2   0.0    6.0 
Mut.AstWalk.emit_with_else_candidates/4                      6   100.0  6.0 
Mut.AstWalk.literal_syntactic_name/1                         2   0.0    6.0 
Mut.AstWalk.maybe_conditional_candidate/3                    6   100.0  6.0 
Mut.AstWalk.node_kind/1                                      6   100.0  6.0 
Mut.AstWalk.normalize_marked/1                               6   100.0  6.0 
Mut.AstWalk.note_map_key_pins/2                              6   100.0  6.0 
Mut.AstWalk.schema_literal_name/1                            6   100.0  6.0 
Mut.CompileRollback.compile_and_loop/1                       2   0.0    6.0 
Mut.CompileRollback.instrument_file/4                        2   0.0    6.0 
Mut.CompileRollback.invalidate_and_render/2                  2   0.0    6.0 
Mut.CompileRollback.locate_anchor/3                          2   0.0    6.0 
Mut.CompileRollback.locate_anchors/2                         2   0.0    6.0 
Mut.CompileRollback.rerender_file/5                          2   0.0    6.0 
Mut.Coverage.Runner.discover_test_files/2                    6   100.0  6.0 
Mut.EnvWalker.classify_kernel_control_flow/4                 2   0.0    6.0 
Mut.EnvWalker.maybe_emit_literal_candidate/4                 6   100.0  6.0 
Mut.EnvWalker.variable_read?/2                               6   100.0  6.0 
Mut.EnvWalker.walk_for_clause/2                              2   0.0    6.0 
Mut.EnvWalker.walk_with_clause/2                             2   0.0    6.0 
Mut.History.Digest.def_key/2                                 4   50.0   6.0 
Mut.MemoryWatchdog.loop/3                                    2   0.0    6.0 
Mut.MemoryWatchdog.mb/1                                      2   0.0    6.0 
Mut.MemoryWatchdog.start/2                                   2   0.0    6.0 
Mut.MemoryWatchdog.stop/1                                    2   0.0    6.0 
Mut.Metrics.set_concurrency/2                                2   0.0    6.0 
Mut.Metrics.set_test_timeout_ms/2                            2   0.0    6.0 
Mut.MixManifest.version_assertion/1                          6   100.0  6.0 
Mut.Mutator.AtomLiteral.equivalent?/1                        2   0.0    6.0 
Mut.Mutator.BooleanLiteral.mutate/2                          2   0.0    6.0 
Mut.Mutator.FloatLiteral.equivalent?/1                       2   0.0    6.0 
Mut.Mutator.IntegerLiteral.mutate/2                          2   0.0    6.0 
Mut.Oracle.dump_json/1                                       2   0.0    6.0 
Mut.Oracle.encode_function/1                                 2   0.0    6.0 
Mut.Oracle.encode_meta/1                                     2   0.0    6.0 
Mut.Oracle.sort_key/1                                        2   0.0    6.0 
Mut.Orchestrator.pattern_literal_mutators/2                  2   0.0    6.0 
Mut.Orchestrator.schema_literal_mutants/3                    2   0.0    6.0 
Mut.Orchestrator.variable_candidates/4                       2   0.0    6.0 
Mut.Plan.dump_json/2                                         2   0.0    6.0 
Mut.Reporter.Html.write/2                                    2   0.0    6.0 
Mut.Reporter.StrykerJson.location/1                          4   50.0   6.0 
Mut.Reporter.StrykerJson.validate_file/3                     4   50.0   6.0 
Mut.Reporter.StrykerJson.write/2                             2   0.0    6.0 
